,nombre,sub_category,latitud,longitud,distance,location,city,category
410,Hungry Vegan,Food & Drink Shop,54.973887,-1.611301,687,"{'type': 'Point', 'coordinates': [54.973887, -1.611301]}",Newcastle,Vegetarian / Vegan Restaurant
411,Grumpy Panda,Vegetarian / Vegan Restaurant,54.960342,-1.6041641,1284,"{'type': 'Point', 'coordinates': [54.960342, -1.6041641]}",Newcastle,Vegetarian / Vegan Restaurant
412,Farplace Vegan Store,Vegetarian / Vegan Restaurant,54.971577,-1.617076,300,"{'type': 'Point', 'coordinates': [54.971577, -1.617076]}",Newcastle,Vegetarian / Vegan Restaurant
413,The Fat Hippo Underground,Burger Joint,54.9725349587578,-1.6120827707174206,538,"{'type': 'Point', 'coordinates': [54.9725349587578, -1.6120827707174206]}",Newcastle,Vegetarian / Vegan Restaurant
414,Karma Kitchen Café,Vegetarian / Vegan Restaurant,54.971146,-1.613615,358,"{'type': 'Point', 'coordinates': [54.971146, -1.613615]}",Newcastle,Vegetarian / Vegan Restaurant
415,Painted Elephant,Vegetarian / Vegan Restaurant,54.97484202113101,-1.610213455652714,814,"{'type': 'Point', 'coordinates': [54.97484202113101, -1.610213455652714]}",Newcastle,Vegetarian / Vegan Restaurant
416,Northumbria University Sport Central,Athletics & Sports,54.97831759371752,-1.606641929665313,1262,"{'type': 'Point', 'coordinates': [54.97831759371752, -1.606641929665313]}",Newcastle,Basketball Stadium
417,The Pet Stop,Pet Store,54.9743,-1.61128,725,"{'type': 'Point', 'coordinates': [54.9743, -1.61128]}",Newcastle,Pet Store
418,Big Shop,Pet Store,54.972352,-1.614438,435,"{'type': 'Point', 'coordinates': [54.972352, -1.614438]}",Newcastle,Pet Store
419,Little Pet Store,Pet Store,54.957333050494285,-1.605060767983981,1517,"{'type': 'Point', 'coordinates': [54.957333050494285, -1.605060767983981]}",Newcastle,Pet Store
420,Robinsons,Pet Store,54.97311463420963,-1.6149015201509542,500,"{'type': 'Point', 'coordinates': [54.97311463420963, -1.6149015201509542]}",Newcastle,Pet Store
