id,name,contact,location,categories,verified,stats,beenHere,venuePage,hereNow,referralId,venueChains,hasPerk,delivery
4b140f1bf964a5209b9c23e3,Texas Coffee Traders,{},"{'address': '1400 E 4th St', 'crossStreet': 'btwn onion and navasota', 'lat': 30.261880819658398, 'lng': -97.72863711607786, 'labeledLatLngs': [{'label': 'display', 'lat': 30.261880819658398, 'lng': -97.72863711607786}, {'label': 'entrance', 'lat': 30.261951, 'lng': -97.728716}], 'distance': 1766, 'postalCode': '78702', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['1400 E 4th St (btwn onion and navasota)', 'Austin, TX 78702', 'United States']}","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",True,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895092,[],False,"{'id': '1807927', 'url': 'https://www.grubhub.com/restaurant/texas-coffee-traders-1400-east-4th-street-austin/1807927?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1807927', 'provider': {'name': 'grubhub', 'icon': {'prefix': 'https://fastly.4sqi.net/img/general/cap/', 'sizes': [40, 50], 'name': '/delivery_provider_grubhub_20180129.png'}}}"
45f29b61f964a520df431fe3,Jo's Coffee,{},"{'address': '242 W 2nd St', 'crossStreet': 'at Lavaca St', 'lat': 30.26491067119834, 'lng': -97.74610054923775, 'labeledLatLngs': [{'label': 'display', 'lat': 30.26491067119834, 'lng': -97.74610054923775}], 'distance': 434, 'postalCode': '78701', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['242 W 2nd St (at Lavaca St)', 'Austin, TX 78701', 'United States']}","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895092,[],False,"{'id': '2036054', 'url': 'https://www.grubhub.com/restaurant/jos-downtown-242-w-2nd-st-austin/2036054?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2036054', 'provider': {'name': 'grubhub', 'icon': {'prefix': 'https://fastly.4sqi.net/img/general/cap/', 'sizes': [40, 50], 'name': '/delivery_provider_grubhub_20180129.png'}}}"
41059b00f964a520820b1fe3,BookPeople,{},"{'address': '603 N Lamar Blvd', 'crossStreet': 'at 6th St.', 'lat': 30.271786996839463, 'lng': -97.75304367177156, 'labeledLatLngs': [{'label': 'display', 'lat': 30.271786996839463, 'lng': -97.75304367177156}, {'label': 'entrance', 'lat': 30.271842, 'lng': -97.753696}], 'distance': 826, 'postalCode': '78703', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['603 N Lamar Blvd (at 6th St.)', 'Austin, TX 78703', 'United States']}","[{'id': '4bf58dd8d48988d114951735', 'name': 'Bookstore', 'pluralName': 'Bookstores', 'shortName': 'Bookstore', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bookstore_', 'suffix': '.png'}, 'primary': True}]",True,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895092,[],False,
4e8a32a9754a9bf8b7332e06,Cenote,{},"{'address': '1010 E Cesar Chavez St', 'crossStreet': 'Medina', 'lat': 30.260522042230512, 'lng': -97.73372578655365, 'labeledLatLngs': [{'label': 'display', 'lat': 30.260522042230512, 'lng': -97.73372578655365}], 'distance': 1433, 'postalCode': '78702', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['1010 E Cesar Chavez St (Medina)', 'Austin, TX 78702', 'United States']}","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",True,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895092,[],False,"{'id': '1581197', 'url': 'https://www.grubhub.com/restaurant/cenote-1010-east-cesar-chavez-street-austin/1581197?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1581197', 'provider': {'name': 'grubhub', 'icon': {'prefix': 'https://fastly.4sqi.net/img/general/cap/', 'sizes': [40, 50], 'name': '/delivery_provider_grubhub_20180129.png'}}}"
4aaf0ab8f964a520fe6320e3,Caffé Medici,{},"{'address': '2222 Guadalupe St', 'crossStreet': 'Btw 22nd & 23rd', 'lat': 30.285489606127463, 'lng': -97.74205128800926, 'labeledLatLngs': [{'label': 'display', 'lat': 30.285489606127463, 'lng': -97.74205128800926}], 'distance': 1889, 'postalCode': '78705', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['2222 Guadalupe St (Btw 22nd & 23rd)', 'Austin, TX 78705', 'United States']}","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",True,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895092,[],False,"{'id': '2830401', 'url': 'https://www.grubhub.com/restaurant/medici-roasting-2222-guadalupe-street-austin/2830401?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2830401', 'provider': {'name': 'grubhub', 'icon': {'prefix': 'https://fastly.4sqi.net/img/general/cap/', 'sizes': [40, 50], 'name': '/delivery_provider_grubhub_20180129.png'}}}"
4b847f86f964a520dd3831e3,MetroRail - Downtown Station,{},"{'address': '401 E 4th St', 'crossStreet': 'Trinity', 'lat': 30.265055172920714, 'lng': -97.73932890872983, 'labeledLatLngs': [{'label': 'display', 'lat': 30.265055172920714, 'lng': -97.73932890872983}, {'label': 'entrance', 'lat': 30.264857, 'lng': -97.740081}], 'distance': 698, 'postalCode': '78701', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['401 E 4th St (Trinity)', 'Austin, TX 78701', 'United States']}","[{'id': '4bf58dd8d48988d1fc931735', 'name': 'Light Rail Station', 'pluralName': 'Light Rail Stations', 'shortName': 'Light Rail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/lightrail_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895095,[],False,
4b4a4cabf964a520e28226e3,MetroRail - Plaza Saltillo Station,{},"{'address': '412 Comal St', 'crossStreet': 'at E 5th St', 'lat': 30.262234605626887, 'lng': -97.72772732276745, 'labeledLatLngs': [{'label': 'display', 'lat': 30.262234605626887, 'lng': -97.72772732276745}, {'label': 'entrance', 'lat': 30.261957, 'lng': -97.72723}], 'distance': 1829, 'postalCode': '78702', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['412 Comal St (at E 5th St)', 'Austin, TX 78702', 'United States']}","[{'id': '4bf58dd8d48988d1fc931735', 'name': 'Light Rail Station', 'pluralName': 'Light Rail Stations', 'shortName': 'Light Rail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/lightrail_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895095,[],False,
49fcb154f964a520cb6e1fe3,Austin Train Station - Amtrak (AUS),{},"{'address': '250 N Lamar Blvd', 'crossStreet': '3rd St.', 'lat': 30.269559478737243, 'lng': -97.75686073732146, 'labeledLatLngs': [{'label': 'display', 'lat': 30.269559478737243, 'lng': -97.75686073732146}], 'distance': 1123, 'postalCode': '78703', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['250 N Lamar Blvd (3rd St.)', 'Austin, TX 78703', 'United States']}","[{'id': '4bf58dd8d48988d129951735', 'name': 'Train Station', 'pluralName': 'Train Stations', 'shortName': 'Train Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895095,[],False,
5316acb3498e50d55233c023,Garage,{},"{'address': '503 Colorado St', 'lat': 30.267884815279345, 'lng': -97.7442035994594, 'labeledLatLngs': [{'label': 'display', 'lat': 30.267884815279345, 'lng': -97.7442035994594}, {'label': 'entrance', 'lat': 30.267944, 'lng': -97.744208}], 'distance': 135, 'postalCode': '78701', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['503 Colorado St', 'Austin, TX 78701', 'United States']}","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895097,[],False,
5e23c011d589f30008876f74,Tipsy Alchemist,{},"{'lat': 30.258201, 'lng': -97.739175, 'labeledLatLngs': [{'label': 'display', 'lat': 30.258201, 'lng': -97.739175}], 'distance': 1308, 'postalCode': '78701', 'cc': 'US', 'city': 'Austin', 'state': 'TX', 'country': 'United States', 'formattedAddress': ['Austin, TX 78701', 'United States']}","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",False,"{'tipCount': 0, 'usersCount': 0, 'checkinsCount': 0, 'visitsCount': 0}","{'count': 0, 'lastCheckinExpiredAt': 0, 'marked': False, 'unconfirmedCount': 0}",,"{'count': 0, 'summary': 'Nobody here', 'groups': []}",v-1636895097,[],False,
